"Ecole","Année scolaire","Effectif"
"AGENETS ELEMENTAIRE","2010-2011",166
"AGENETS MATERNELLE","2010-2011",129
"ALAIN FOURNIER ELEMENTAIRE","2010-2011",134
"ALAIN FOURNIER MATERNELLE","2010-2011",114
"ALPHONSE BRAUD PRIMAIRE","2010-2011",139
"AMPERE PRIMAIRE","2010-2011",280
"ANATOLE DE MONZIE ELEMENTAIRE","2010-2011",86
"ANDRE LERMITE ELEMENTAIRE","2010-2011",164
"ANGE GUEPIN ELEMENTAIRE","2010-2011",118
"BARBERIE MATERNELLE","2010-2011",84
"BARBERIE-MULOTIERE ELEMENTAIRE","2010-2011",159
"BATIGNOLLES ELEMENTAIRE","2010-2011",148
"BATIGNOLLES MATERNELLE","2010-2011",118
"BAUT ELEMENTAIRE","2010-2011",98
"BAUT MATERNELLE","2010-2011",77
"BEAUJOIRE ELEMENTAIRE","2010-2011",119
"BEAUJOIRE MATERNELLE","2010-2011",97
"BOCCAGE ELEMENTAIRE","2010-2011",128
"BOCCAGE MATERNELLE","2010-2011",83
"BOTTIERE ELEMENTAIRE","2010-2011",172
"BOTTIERE MATERNELLE","2010-2011",162
"CAMILLE CLAUDEL MATERNELLE","2010-2011",92
"CHAMPENOIS ELEMENTAIRE","2010-2011",116
"CHARLES LEBOURG PRIMAIRE","2010-2011",169
"CHATAIGNIERS ELEMENTAIRE","2010-2011",112
"CHATAIGNIERS MATERNELLE","2010-2011",85
"CHAUVINIERE ELEMENTAIRE","2010-2011",140
"CHAUVINIERE MATERNELLE","2010-2011",94
"CHENE D'ARON ELEMENTAIRE","2010-2011",145
"CHENE D'ARON MATERNELLE","2010-2011",78
"CONTRIE ELEMENTAIRE","2010-2011",193
"CONTRIE MATERNELLE","2010-2011",106
"COTE D'OR MATERNELLE","2010-2011",66
"COUDRAY ELEMENTAIRE","2010-2011",123
"COUDRAY MATERNELLE","2010-2011",103
"DERVALLIERES CHEZINE ELEMENTAIRE","2010-2011",167
"DERVALLIERES CHEZINE MATERNELLE","2010-2011",140
"DOCTEUR TEILLAIS MATERNELLE","2010-2011",141
"EMILE PEHANT ELEMENTAIRE","2010-2011",174
"EMILE PEHANT MATERNELLE","2010-2011",105
"FELLONNEAU ELEMENTAIRE","2010-2011",142
"FELLONNEAU MATERNELLE","2010-2011",111
"FONTENY MATERNELLE","2010-2011",145
"FRANCOIS DALLET ELEMENTAIRE","2010-2011",198
"FRANCOISE DOLTO PRIMAIRE","2010-2011",191
"FRATERNITE ELEMENTAIRE","2010-2011",261
"FREDUREAU MATERNELLE","2010-2011",106
"GARENNES ELEMENTAIRE","2010-2011",124
"GASTON SERPETTE ELEMENTAIRE","2010-2011",197
"GASTON SERPETTE MATERNELLE","2010-2011",113
"GAY LUSSAC PRIMAIRE","2010-2011",228
"GEORGE SAND ELEMENTAIRE","2010-2011",213
