"Jour","Evenement"
15/12/11,"GREVE"
10/02/11,"GREVE"
16/05/11,"GREVE"
28/03/11,"GREVE"
11/10/11,"GREVE"
13/12/11,"GREVE"
27/09/11,"GREVE"
31/05/11,"GREVE"
02/02/12,"GREVE"
26/06/12,"GREVE"
31/01/12,"GREVE"
27/03/12,"GREVE"
05/12/13,"GREVE"
28/03/13,"GREVE"
31/01/13,"GREVE"
09/04/13,"GREVE"
10/09/13,"GREVE"
12/02/13,"GREVE"
26/03/13,"GREVE"
14/11/13,"GREVE"
21/11/13,"GREVE"
18/11/13,"GREVE"
19/11/13,"GREVE"
26/11/13,"GREVE"
13/11/13,"GREVE"
15/11/13,"GREVE"
22/11/13,"GREVE"
10/10/13,"GREVE"
17/10/13,"GREVE"
14/10/13,"GREVE"
15/10/13,"GREVE"
16/10/13,"GREVE"
11/10/13,"GREVE"
18/10/13,"GREVE"
06/12/13,"GREVE"
29/03/13,"GREVE"
06/02/14,"GREVE"
09/01/14,"GREVE"
15/05/14,"GREVE"
26/06/14,"GREVE"
11/12/14,"GREVE"
16/10/14,"GREVE"
24/02/14,"GREVE"
18/03/14,"GREVE"
18/11/14,"GREVE"
08/10/15,"GREVE"
09/04/15,"GREVE"
11/06/15,"GREVE"
01/06/15,"GREVE"
08/06/15,"GREVE"
15/06/15,"GREVE"
29/06/15,"GREVE"
03/02/15,"GREVE"
09/06/15,"GREVE"
26/02/15,"GREVE"
12/06/15,"GREVE"
19/06/15,"GREVE"
26/01/16,"GREVE"
24/03/16,"GREVE"
31/03/16,"GREVE"
28/04/16,"GREVE"
12/05/16,"GREVE"
17/05/16,"GREVE"
19/05/16,"GREVE"
26/05/16,"GREVE"
02/06/16,"GREVE"
09/06/16,"GREVE"
14/06/16,"GREVE"
16/06/16,"GREVE"
23/06/16,"GREVE"
28/06/16,"GREVE"
30/06/16,"GREVE"
05/07/16,"GREVE"
15/09/16,"GREVE"
11/10/16,"GREVE"
29/11/16,"GREVE"
06/12/16,"GREVE"
05/12/16,"GREVE"
14/12/16,"GREVE"
13/01/17,"GREVE"
17/01/17,"GREVE"
01/02/17,"GREVE"
07/03/17,"GREVE"
08/03/17,"GREVE"
23/03/17,"GREVE"
04/04/17,"GREVE"
19/05/17,"GREVE"
26/06/17,"GREVE"
12/09/17,"GREVE"
21/09/17,"GREVE"
28/09/17,"GREVE"
10/10/17,"GREVE"
19/10/17,"GREVE"
16/11/17,"GREVE"
14/11/17,"GREVE"
17/11/17,"GREVE"
22/11/17,"GREVE"
21/12/17,"GREVE"
22/12/17,"GREVE"
09/02/18,"GREVE"
12/02/18,"GREVE"
13/02/18,"GREVE"
15/02/18,"GREVE"
16/02/18,"GREVE"
20/02/18,"GREVE"
22/03/18,"GREVE"
03/04/18,"GREVE"
04/04/18,"GREVE"
05/04/18,"GREVE"
06/04/18,"GREVE"
19/04/18,"GREVE"
22/05/18,"GREVE"
24/05/18,"GREVE"
28/06/18,"GREVE"
09/10/18,"GREVE"
16/10/18,"GREVE"
12/11/18,"GREVE"
14/12/18,"GREVE"
08/01/19,"GREVE"
09/01/19,"GREVE"
10/01/19,"GREVE"
11/01/19,"GREVE"
14/01/19,"GREVE"
15/01/19,"GREVE"
16/01/19,"GREVE"
17/01/19,"GREVE"
18/01/19,"GREVE"
21/01/19,"GREVE"
22/01/19,"GREVE"
23/01/19,"GREVE"
24/01/19,"GREVE"
25/01/19,"GREVE"
04/02/19,"GREVE"
05/02/19,"GREVE"
07/02/19,"GREVE"
08/02/19,"GREVE"
04/03/19,"GREVE"
08/03/19,"GREVE"
11/03/19,"GREVE"
12/03/19,"GREVE"
14/03/19,"GREVE"
15/03/19,"GREVE"
19/03/19,"GREVE"
20/03/19,"GREVE"
21/03/19,"GREVE"
22/03/19,"GREVE"
25/03/19,"GREVE"
26/03/19,"GREVE"
27/03/19,"GREVE"
28/03/19,"GREVE"
29/03/19,"GREVE"
01/04/19,"GREVE"
02/04/19,"GREVE"
04/04/19,"GREVE"
05/04/19,"GREVE"
09/05/19,"GREVE"
21/05/19,"GREVE"
04/06/19,"GREVE"
07/06/17,"GREVE"
13/06/19,"GREVE"
24/09/19,"GREVE"
05/12/19,"GREVE"
06/12/19,"GREVE"
09/12/19,"GREVE"
10/12/19,"GREVE"
11/12/19,"GREVE"
12/12/19,"GREVE"
13/12/19,"GREVE"
16/12/19,"GREVE"
17/12/19,"GREVE"
18/12/19,"GREVE"
19/12/19,"GREVE"
20/12/19,"GREVE"
