Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0441490F;Ecole primaire privée Notre-Dame de Bon Port;ECOLE PRIMAIRE PRIVEE;N-D.DE BON PORT;Privé;2 A rue Dobrée;;;44100;NANTES;Nantes;354440.2;6689020.8;EPSG:2154;47.211496743457815;-1.5680701705289424;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2114967435,-1.56807017053;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-22
0442037A;Ecole maternelle Pauline Kergomard;ECOLE MATERNELLE PUBLIQUE;PAULINE KERGOMARD;Public;4 rue Pierre Etienne Flandin;;;44200;NANTES;Nantes;356583.7;6687957.1;EPSG:2154;47.20304866009342;-1.5389897127968293;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2030486601,-1.5389897128;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0442074R;Ecole élémentaire Anatole de Monzie;ECOLE ELEMENTAIRE PUBLIQUE;ANATOLE DE MONZIE;Public;Rue Léon Buerne;;;44200;NANTES;Nantes;356371.9;6687953.9;EPSG:2154;47.2029103183295;-1.5417805099112682;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2029103183,-1.54178050991;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1987-09-01
0440612B;Ecole élémentaire Agenêts;ECOLE ELEMENTAIRE PUBLIQUE;AGENETS;Public;31 rue des Agenets;;;44000;NANTES;Nantes;357386.5;6690646.9;EPSG:2154;47.227639041972594;-1.530439778951194;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.227639042,-1.53043977895;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440620K;Ecole élémentaire Jacques Prévert;ECOLE ELEMENTAIRE PUBLIQUE;JACQUES PREVERT;Public;34 rue du Breil;;;44100;NANTES;Nantes;353372.9;6691098.8;EPSG:2154;47.2296164118259;-1.5837403699098072;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2296164118,-1.58374036991;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440627T;Ecole élémentaire Chêne d'Aron;ECOLE ELEMENTAIRE PUBLIQUE;CHENE D ARON;Public;3 rue de l'Heronnière;;;44000;NANTES;Nantes;354985.8;6689068.1;EPSG:2154;47.21220563790411;-1.560909821931182;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2122056379,-1.56090982193;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-22
0440633Z;Ecole élémentaire Les Châtaigniers;ECOLE ELEMENTAIRE PUBLIQUE;CHATAIGNIERS;Public;164 rue du Corps de Garde;;;44100;NANTES;Nantes;351925.0;6690092.8;EPSG:2154;47.21981728091829;-1.6020694630595043;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2198172809,-1.60206946306;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440640G;Ecole élémentaire Fellonneau;ECOLE ELEMENTAIRE PUBLIQUE;FELLONNEAU;Public;15 rue Fellonneau;;;44000;NANTES;Nantes;355586.9;6691192.7;EPSG:2154;47.2316130614791;-1.5545994399752192;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2316130615,-1.55459943998;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440678Y;Ecole élémentaire Gustave Roch;ECOLE ELEMENTAIRE PUBLIQUE;GUSTAVE ROCH;Public;24 boulevard Gustave Roch;;;44200;NANTES;Nantes;355750.9;6688177.6;EPSG:2154;47.2045992100751;-1.55014040009921;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2045992101,-1.5501404001;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440688J;Ecole élémentaire Jean Zay;ECOLE ELEMENTAIRE PUBLIQUE;JEAN ZAY;Public;15 bis rue Yves Kartel;;;44100;NANTES;Nantes;351408.9;6688940.4;EPSG:2154;47.20918938484029;-1.6079894606138896;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2091893848,-1.60798946061;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
