"","date","menu"
"1",2011-01-03,"Pamplemousse"
"2",2011-01-03,"Hachis Parmentier"
"3",2011-01-03,"Salade verte"
"4",2011-01-03,"Flan caramel"
"5",2011-01-04,"Crêpe au fromage"
"6",2011-01-04,"emincé de volaille à la forestière"
"7",2011-01-04,"haricots beurre / haricots plats"
"8",2011-01-04,"St paulin"
"9",2011-01-04,"ananas"
"10",2011-01-05,"Concombres crème"
"11",2011-01-05,"saute de veau agrumes"
"12",2011-01-05,"riz pilaf"
"13",2011-01-05,"Gouda"
"14",2011-01-05,"Cocktail de fruits"
"15",2011-01-06,"thon"
"16",2011-01-06,"Mâche au thon"
"17",2011-01-06,"Croziflette"
"18",2011-01-06,"des de canard"
"19",2011-01-06,"des de volaille"
"20",2011-01-06,"Yaourt brasse bio"
"21",2011-01-07,"Choux blancs mimolette"
"22",2011-01-07,"milanette en des"
"23",2011-01-07,"filet surgele printaniere"
"24",2011-01-07,"carottes persillées"
"25",2011-01-07,"Galette des rois"
"26",2011-01-07,"Lait fermier"
"27",2011-01-10,"Endives / demi-œuf"
"28",2011-01-10,"paella de la mer"
"29",2011-01-10,"Fromage blanc"
"30",2011-01-10,"et abricots secs"
"31",2011-01-11,"Taboulé"
"32",2011-01-11,"sauté de bœuf Bourguignon"
"33",2011-01-11,"haricots verts"
"34",2011-01-11,"Tomme bio"
"35",2011-01-11,"Clémentines"
"36",2011-01-12,"Salade carnaval (maïs, tomate, concombres)"
"37",2011-01-12,"Jambon fumé"
"38",2011-01-12,"jambon de dinde"
"39",2011-01-12,"Marmelade de pommes"
"40",2011-01-12,"St Nectaire"
"41",2011-01-12,"galette des rois"
"42",2011-01-13,"carottes râpées bio"
"43",2011-01-13,"rôti de dinde"
"44",2011-01-13,"jus de veau"
"45",2011-01-13,"purée de p  de terre"
"46",2011-01-13,"Yaourt Fruix"
"47",2011-01-14,"Pizza au fromage"
"48",2011-01-14,"citron"
"49",2011-01-14,"poisson pané"
"50",2011-01-14,"épinards à la crème"
"51",2011-01-14,"Edam"
"52",2011-01-14,"Pomme"
"53",2011-01-17,"Mâche au surimi"
"54",2011-01-17,"pâte"
"55",2011-01-17,"sauce bolognaise"
"56",2011-01-17,"gruyère râpée"
"57",2011-01-17,"Crème dessert vanille"
"58",2011-01-18,"Choux rouges"
"59",2011-01-18,"Sauté de porc Forestière"
"60",2011-01-18,"sauté de dinde  forestière"
"61",2011-01-18,"batonnière de légumes"
"62",2011-01-18,"Beignet chocolat"
"63",2011-01-18,"Lait fermier"
"64",2011-01-19,"Betteraves au chèvre"
