"Date","Rang","Plat"
"01/09/2016",1,"Melon"
"01/09/2016",2,"Hachis Parmentier*"
"01/09/2016",3,"Salade verte"
"01/09/2016",6," -"
"01/09/2016",6,"Île flottante"
"02/09/2016",1,"Tarte au fromage "
"02/09/2016",2,"Filet de poisson meunière"
"02/09/2016",3,"Courgettes à la tomate"
"02/09/2016",6,"Prunes Reine-Claude"
"05/09/2016",1,"Pizza au fromage"
"05/09/2016",2,"Haché de poulet*"
"05/09/2016",3,"Petits pois"
"05/09/2016",5,"Camembert"
"05/09/2016",6,"Pomme bio°"
"06/09/2016",1,"Concombres"
"06/09/2016",2,"Saumon sauce normande"
"06/09/2016",3,"Pommes rissolées"
"06/09/2016",6,"Yaourt  fermier  bio°"
"07/09/2016",1,"Crêpe au fromage"
"07/09/2016",2,"Pavé de dinde fermier"
"07/09/2016",3,"Ratatouille/blé bio"
"07/09/2016",5,"Fromage vache et brebis"
"07/09/2016",6,"Raisin"
"08/09/2016",1,"Pastèque"
"08/09/2016",2,"Emincé de boeuf* thaï"
"08/09/2016",3,"Riz basmati"
"08/09/2016",6,"Liégeois chocolat"
"09/09/2016",1,"Salade de pâtes Napoli"
"09/09/2016",2,"Omelette bio"
"09/09/2016",3,"Purée de légumes verts"
"09/09/2016",5,"Fromage Belle de Nantes°"
"09/09/2016",6,"Poire"
"12/09/2016",1,"Melon"
"12/09/2016",2,"Boulettes de boeuf* en tajine"
"12/09/2016",3,"Semoule bio"
"12/09/2016",6,"Crème dessert vanille"
"13/09/2016",1,"Salade verte aux dés de chèvre "
"13/09/2016",2,"Pilon de poulet confit"
"13/09/2016",3,"Lentilles bio"
"13/09/2016",6,"Yaourt aromatisé"
"14/09/2016",1,"Salade de tomates"
"14/09/2016",2,"Poêlée méditerranéenne"
"14/09/2016",5,"Crème de gruyère"
"14/09/2016",6,"Dessert vegetal fruit rouges"
"15/09/2016",8,"menu depannage "
"16/09/2016",1,"Radis"
"16/09/2016",2,"Poisson pané"
"16/09/2016",3,"Gratin de choux fleurs"
"16/09/2016",6,"tarte pomme speculoos"
"16/09/2016",8,"Lait bio"
"19/09/2016",1,"Crêpe au fromage"
"19/09/2016",2,"Sauté de veau* à la basquaise"
"19/09/2016",3,"Poêlée de légumes (carottes, haricots verts, pdt, brocolis)"
"19/09/2016",5,"FROMAGE FONDU"
"19/09/2016",6,"Raisin"
"20/09/2016",1,"Salade carnaval (mais, tomates, concombres) "
"20/09/2016",2,"Filet de poisson meunière"
"20/09/2016",3,"Epinards à la crème"
"20/09/2016",5,"Fromage Chanteneige"
"20/09/2016",6,"Poire"
"21/09/2016",1,"Choux rouges bio° à la mimolette"
"21/09/2016",2,"Saute de Dinde sauce Vallée D'Auge"
"21/09/2016",3,"Marmelade de pommes"
"21/09/2016",5,"Camembert"
"21/09/2016",6,"Eclair au chocolat"
"22/09/2016",1,"Carottes râpées bio"
"22/09/2016",2,"Saucisses de porc bio"
"22/09/2016",3,"Mogettes"
"22/09/2016",6,"Biscuit Petit Lu"
"22/09/2016",6,"Crème dessert chocolat bio°"
"23/09/2016",1,"Salade verte / demi-oeuf bio"
"23/09/2016",2,"Galette de soja tomate/basilic et sauce tomate"
"23/09/2016",3,"Ratatouille/blé bio"
"23/09/2016",6,"Yaourt aux fruits mixés"
"26/09/2016",1,"Demi-pamplemousse"
"26/09/2016",2,"Escalope de dinde"
"26/09/2016",2,"jus de veau menu"
"26/09/2016",3,"Haricots verts/haricots beurre"
"26/09/2016",6,"Fondant au chocolat"
"26/09/2016",8,"Lait bio"
"27/09/2016",1,"Gaspacho / croûtons"
"27/09/2016",2,"Rôti de boeuf* et moutarde"
"27/09/2016",3,"Gratinée de légumes (pdt, carottes, brocolis)"
"27/09/2016",5,"Fromage fondu au chèvre"
"27/09/2016",6,"Banane"
"28/09/2016",1,"Oeufs durs à la mayonnaise"
"28/09/2016",2,"Paëlla au poulet"
"28/09/2016",5,"Saint-Nectaire"
"28/09/2016",6,"Kiwi bio°"
"29/09/2016",1,"Salade de tomates au surimi"
"29/09/2016",2,"Timbale de pâtes aux lardons "
"29/09/2016",6,"Suisse aromatisé"
"30/09/2016",1,"Betteraves"
"30/09/2016",2,"Poisson"
"30/09/2016",3,"Pommes de terre sautées"
"30/09/2016",5,"Fromage bio"
"30/09/2016",6,"Pomme bio°"
"03/10/2016",1,"Concombres sauce crème"
"03/10/2016",2,"Lasagnes* napolitaines"
