date_de_debut;date_de_fin;motif;organisations_syndicales;metiers_cibles;population;nombre_grevistes;taux_grevistes
2003-02-10;2003-02-12;Journée d'action des agents du Matériel : moyens humains et matériel, formation, conditions de travail, prime de travail, salaire.;"CGT;CFDT;CFTC";"agent de manoeuvre;logistique;ingénierie et maintenance du matériel roulant";3935.0;694.0;17.6
2003-05-12;;Retraites.;"SUD;FO";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";50410.0;11867.0;23.5
2004-06-18;2004-06-21;Transformer la réunion du 6 juillet en table-ronde de négociation sur l'ensemble du métier conduite, améliorer le dialogue social, refus de la mise en place d'un contrôle de connaissance.;SUD;conducteur;5487.0;54.0;1.0
2004-07-06;2004-07-06;Mouvement irrégulier. Agression d'un chef de bord en Lorraine.;SUD;chef de bord;4531.0;569.0;12.6
2004-11-09;2004-11-09;Projet de Performance Logistique et Industrielle (PLI);"CGT;UNSA;SUD;FO";ingénierie et maintenance du matériel roulant;1888.0;163.0;8.6
2004-11-24;2004-11-26;Service public, fret, moyens, salaires, droit de grève.;"CGT;SUD";agent de manoeuvre;10610.0;82.0;0.8
2004-12-07;2004-12-08;Opposition au VO 598 (fusion de plusieurs métiers : agents de vente, agents d'accueil, agents assurant des missions de présence en gare).;"CGT;SUD";accueil en gare et vente;3404.0;350.0;10.3
2005-05-15;2005-05-17;Refus de l'allongement de la durée du travail par le biais d'une journée de travail gratuite et de la suppression d'un jour de congé, abrogation de la loi du 30 Juin 2004, refus de la création d'une caisse spécifique (CNAS), réouverture des négociations salariales.;"CGT;SUD";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";43876.0;131.0;0.3
2005-06-20;;Création d'une prime de travail pour la sûreté ferroviaire d'un montant au moins équivalent aux chef de bord, abrogation des mesures contenues dans le référentiel métier constituant la constitution des équipes.;FO;sûreté ferroviaire;1273.0;127.0;10.0
2005-10-03;2005-10-05;Défense du pouvoir d'achat et des droits au travail, arrêt des restructurations et réorganisations de services anonymes, défense du service public, arrêt des fermetures des services aux clientèles fret et voyageurs, suppressions de dessertes, emploi de cheminots en nombre et au statut, moyens afin de développer le service public SNCF.;"CGT;SUD;FO;CFE-CGC;CFTC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";131393.0;44940.0;34.2
