"","Periode","Nom","Dates","date_start","date_end","an_scol","date_start2","date_end2","Source"
"1","2010-2011","Vacances de la Toussaint","Du 23 octobre 2010 au 3 novembre 2010",2010-10-23,2010-11-03,"2010-2011",1999-10-23,1999-11-03,"Registre manuel"
"2","2010-2011","Vacances de Noël","Du 18 décembre 2010 au 2 janvier 2011",2010-12-18,2011-01-02,"2010-2011",1999-12-18,2000-01-02,"Registre manuel"
"3","2010-2011","Vacances d'Hiver","Du 26 février 2011 au 13 mars 2011",2011-02-26,2011-03-13,"2010-2011",2000-02-26,2000-03-13,"Registre manuel"
"4","2010-2011","Vacances d'Avril","Du 23 avril 2011 au 9 mai 2011",2011-04-23,2011-05-09,"2010-2011",2000-04-23,2000-05-09,"Registre manuel"
"5","2011-2012","Vacances de la Toussaint","Du 22 octobre 2011 au 2 novembre 2011",2011-10-22,2011-11-02,"2011-2012",1999-10-22,1999-11-02,"Registre manuel"
"6","2011-2012","Vacances de Noël","Du 17 décembre 2011 au 2 janvier 2012",2011-12-17,2012-01-02,"2011-2012",1999-12-17,2000-01-02,"Registre manuel"
"7","2011-2012","Vacances d'Hiver","Du 11 février 2012 au 26 février 2012",2012-02-11,2012-02-26,"2011-2012",2000-02-11,2000-02-26,"Registre manuel"
"8","2011-2012","Vacances d'Avril","Du 7 avril 2012 au 23 avril 2012",2012-04-07,2012-04-23,"2011-2012",2000-04-07,2000-04-23,"Registre manuel"
"9","2012-2013","Vacances de la Toussaint","Du 27 octobre 2012 au 7 novembre 2012",2012-10-27,2012-11-07,"2012-2013",1999-10-27,1999-11-07,"Registre manuel"
"10","2012-2013","Vacances de Noël","Du 22 décembre 2012 au 6 janvier 2013",2012-12-22,2013-01-06,"2012-2013",1999-12-22,2000-01-06,"Registre manuel"
"11","2012-2013","Vacances d'Hiver","Du 23 février 2013 au 10 mars 2013",2013-02-23,2013-03-10,"2012-2013",2000-02-23,2000-03-10,"Registre manuel"
"12","2012-2013","Vacances d'Avril","Du 20 avril 2013 au 5 mai 2013",2013-04-20,2013-05-05,"2012-2013",2000-04-20,2000-05-05,"Registre manuel"
"13","2013-2014","Vacances de la Toussaint","Du 19 octobre 2013 au 3 novembre 2013",2013-10-19,2013-11-03,"2013-2014",1999-10-19,1999-11-03,"Registre manuel"
"14","2013-2014","Vacances de Noël","Du 21 décembre 2013 au 5 janvier 2014",2013-12-21,2014-01-05,"2013-2014",1999-12-21,2000-01-05,"Registre manuel"
"15","2013-2014","Vacances d'Hiver","Du 1 mars 2014 au 16 mars 2014",2014-03-01,2014-03-16,"2013-2014",2000-03-01,2000-03-16,"Registre manuel"
"16","2013-2014","Vacances d'Avril","Du 26 avril 2014 au 11 mai 2014",2014-04-26,2014-05-11,"2013-2014",2000-04-26,2000-05-11,"Registre manuel"
"17","2014-2015","Vacances de la Toussaint","Du 18 octobre 2014 au 2 novembre 2014",2014-10-18,2014-11-02,"2014-2015",1999-10-18,1999-11-02,"Registre manuel"
"18","2014-2015","Vacances de Noël","Du 20 décembre 2014 au 4 janvier 2015",2014-12-20,2015-01-04,"2014-2015",1999-12-20,2000-01-04,"Registre manuel"
"19","2014-2015","Vacances d'Hiver","Du 7 février 2015 au 22 février 2015",2015-02-07,2015-02-22,"2014-2015",2000-02-07,2000-02-22,"Registre manuel"
